,Word,NumberOfMeanings,POS,Term1,Term2,Term3,Term4,Term5,Term6,Unnamed: 9
11363,pack,22,(noun),face pack,corrective (generic term),restorative (generic term),,,,
11364,pack,22,(noun),corrective (generic term),restorative (generic term),,,,,
11365,pack,22,(noun),bundle (generic term),sheaf (generic term),,,,,
11366,pack,22,(verb),encase (generic term),incase (generic term),case (generic term),unpack (antonym),,,
11367,pack,22,(verb),fill (generic term),fill up (generic term),make full (generic term),,,,
11368,pack,22,(verb),bundle,wad,compact,arrange (generic term),set up (generic term),bundle off (related term),
11369,pack,22,(verb),transport (generic term),carry (generic term),,,,,
11370,pack,22,(verb),appoint (generic term),name (generic term),nominate (generic term),constitute (generic term),,,
11371,pack,22,(verb),carry,take,have (generic term),feature (generic term),,,
11372,pack,22,(verb),throng,mob,pile,jam,crowd (generic term),crowd together (generic term),
11373,pack,22,(verb),backpack,hike (generic term),,,,,
11374,pack,22,(verb),tamp down,tamp,compress (generic term),compact (generic term),pack together (generic term),,
11375,pack,22,(verb),seal (generic term),seal off (generic term),,,,,
11376,pack,22,(verb),compact,be (generic term),,,,,
11377,pack,22,(verb),load down,load (generic term),lade (generic term),laden (generic term),load up (generic term),,
11378,pack,22,(verb),treat (generic term),care for (generic term),,,,,
11379,package,4,(noun),bundle,packet,parcel,collection (generic term),aggregation (generic term),accumulation (generic term),
11380,package,4,(noun),parcel,container (generic term),,,,,
11381,package,4,(noun),software,software program,computer software,software system,software package,code (generic term),
11382,package,4,(verb),box,encase (generic term),incase (generic term),case (generic term),unbox (antonym),,
11383,page,9,(noun),leaf (generic term),folio (generic term),,,,,
11384,page,9,(noun),Page,Sri Frederick Handley Page,industrialist (generic term),,,,
11385,page,9,(noun),Page,Thomas Nelson Page,writer (generic term),author (generic term),diplomat (generic term),diplomatist (generic term),
11386,page,9,(noun),pageboy,messenger boy (generic term),errand boy (generic term),,,,
11387,page,9,(noun),attendant (generic term),attender (generic term),tender (generic term),,,,
11388,page,9,(noun),varlet,attendant (generic term),attender (generic term),tender (generic term),,,
11389,page,9,(verb),summon (generic term),,,,,,
11390,page,9,(verb),work (generic term),,,,,,
11391,page,9,(verb),foliate,paginate,number (generic term),,,,
11392,pain,7,(noun),hurting,symptom (generic term),,,,,
11393,pain,7,(noun),painfulness,feeling (generic term),pleasure (antonym),,,,
11394,pain,7,(noun),pain sensation,painful sensation,somesthesia (generic term),somaesthesia (generic term),somatesthesia (generic term),somatic sensation (generic term),
11395,pain,7,(noun),pain in the neck,nuisance,unpleasant person (generic term),disagreeable person (generic term),,,
11396,pain,7,(noun),annoyance,bother,botheration,infliction,pain in the neck,pain in the ass,
11397,pain,7,(verb),afflict,trouble,ail,hurt (generic term),,,
11398,pain,7,(verb),anguish,hurt,upset (generic term),discompose (generic term),untune (generic term),disconcert (generic term),
11399,painful,4,(adj),aching (similar term),achy (similar term),agonized (similar term),agonised (similar term),agonizing (similar term),agonising (similar term),
11400,painful,4,(adj),afflictive,sore,unpleasant (similar term),,,,
11401,painful,4,(adj),atrocious,abominable,awful,dreadful,terrible,unspeakable,
11402,painful,4,(adj),irritating,uncomfortable (similar term),,,,,
11403,paint,7,(noun),coating (generic term),coat (generic term),coloring material (generic term),colouring material (generic term),color (generic term),colour (generic term),
11404,paint,7,(noun),key,space (generic term),,,,,
11405,paint,7,(noun),rouge,blusher,makeup (generic term),make-up (generic term),war paint (generic term),,
11406,paint,7,(verb),create (generic term),,,,,,
11407,paint,7,(verb),coat (generic term),surface (generic term),,,,,
11408,paint,7,(verb),represent (generic term),interpret (generic term),,,,,
11409,paint,7,(verb),cover (generic term),,,,,,
11410,painter,4,(noun),artist (generic term),creative person (generic term),,,,,
11411,painter,4,(noun),skilled worker (generic term),trained worker (generic term),skilled workman (generic term),,,,
11412,painter,4,(noun),line (generic term),,,,,,
11413,painter,4,(noun),cougar,puma,catamount,mountain lion,panther,Felis concolor,
11414,painting,4,(noun),picture,graphic art (generic term),,,,,
11415,painting,4,(noun),art (generic term),artistic creation (generic term),artistic production (generic term),fine arts (generic term),beaux arts (generic term),,
11416,painting,4,(noun),application (generic term),coating (generic term),covering (generic term),,,,
11417,painting,4,(noun),house painting,trade (generic term),craft (generic term),,,,
11418,pair,9,(noun),brace,set (generic term),,,,,
11419,pair,9,(noun),couple,twosome,twain,brace,span,yoke,
11420,pair,9,(noun),gathering (generic term),assemblage (generic term),,,,,
11421,pair,9,(noun),poker hand (generic term),,,,,,
11422,pair,9,(verb),pair off,partner off,couple,unite (generic term),unify (generic term),,
11423,pair,9,(verb),match,mate,couple,twin,join (generic term),bring together (generic term),
11424,pair,9,(verb),geminate,occur (generic term),,,,,
11425,pair,9,(verb),geminate,arrange (generic term),set up (generic term),,,,
11426,pair,9,(verb),copulate,mate,couple,join (generic term),conjoin (generic term),,
11427,pale,7,(adj),light (similar term),light-colored (similar term),,,,,
11428,pale,7,(adj),pallid,wan,sick,weak (similar term),,,
11429,pale,7,(adj),pallid,colorless (similar term),colourless (similar term),,,,
11430,pale,7,(adj),pallid,wan,colorless (similar term),colourless (similar term),,,
11431,pale,7,(adj),thin (similar term),,,,,,
11432,pale,7,(noun),picket,strip (generic term),,,,,
11433,pale,7,(verb),blanch,blench,discolor (generic term),discolour (generic term),colour (generic term),color (generic term),
11434,palm,5,(noun),thenar,area (generic term),region (generic term),,,,
11435,palm,5,(noun),linear unit (generic term),,,,,,
11436,palm,5,(noun),palm tree,tree (generic term),,,,,
11437,palm,5,(noun),decoration,laurel wreath,medal,medallion,ribbon,award (generic term),
11438,palm,5,(verb),handle,touch (generic term),,,,,
11439,pan,7,(noun),cooking pan,cooking utensil (generic term),cookware (generic term),,,,
11440,pan,7,(noun),Pan,goat god,Greek deity (generic term),,,,
11441,pan,7,(noun),container (generic term),,,,,,
11442,pan,7,(noun),Pan,genus Pan,mammal genus (generic term),,,,
11443,pan,7,(verb),travel (generic term),go (generic term),move (generic term),locomote (generic term),,,
11444,pan,7,(verb),pan out,pan off,wash (generic term),,,,
11445,pan,7,(verb),tear apart,trash,disparage (generic term),belittle (generic term),pick at (generic term),,
11446,panel,9,(noun),sheet (generic term),flat solid (generic term),,,,,
11447,panel,9,(noun),jury,committee (generic term),commission (generic term),,,,
11448,panel,9,(noun),venire,body (generic term),,,,,
11449,panel,9,(noun),body (generic term),,,,,,
11450,panel,9,(noun),pad (generic term),,,,,,
11451,panel,9,(noun),dialog box,window (generic term),,,,,
11452,panel,9,(noun),control panel,instrument panel,control board,board,electrical device (generic term),,
11453,panel,9,(verb),decorate (generic term),adorn (generic term),grace (generic term),ornament (generic term),embellish (generic term),beautify (generic term),
11454,panel,9,(verb),empanel,impanel,choose (generic term),take (generic term),select (generic term),pick out (generic term),
11455,pant,5,(noun),noise (generic term),,,,,,
11456,pant,5,(noun),trouser,garment (generic term),,,,,
11457,pant,5,(noun),gasp,inhalation (generic term),inspiration (generic term),aspiration (generic term),breathing in (generic term),,
11458,pant,5,(verb),puff,gasp,heave,blow (generic term),,,
11459,pant,5,(verb),utter (generic term),emit (generic term),let out (generic term),let loose (generic term),,,
11460,paper,9,(noun),material (generic term),stuff (generic term),,,,,
11461,paper,9,(noun),composition,report,theme,essay (generic term),,,
11462,paper,9,(noun),newspaper,press (generic term),public press (generic term),,,,
11463,paper,9,(noun),article (generic term),,,,,,
11464,paper,9,(noun),medium (generic term),,,,,,
11465,paper,9,(noun),newspaper,newspaper publisher,publisher (generic term),publishing house (generic term),publishing firm (generic term),publishing company (generic term),
11466,paper,9,(noun),newspaper,product (generic term),production (generic term),,,,
11467,paper,9,(verb),cover (generic term),,,,,,
11468,paper,9,(verb),wallpaper,cover (generic term),,,,,
11469,parent,2,(noun),genitor (generic term),child (antonym),,,,,
11470,parent,2,(verb),rear,raise,bring up,nurture,,,
11471,park,8,(noun),parkland,tract (generic term),piece of land (generic term),piece of ground (generic term),parcel of land (generic term),parcel (generic term),
11472,park,8,(noun),commons,common,green,tract (generic term),piece of land (generic term),piece of ground (generic term),
11473,park,8,(noun),ballpark,stadium (generic term),bowl (generic term),arena (generic term),sports stadium (generic term),,
11474,park,8,(noun),Park,Mungo Park,explorer (generic term),adventurer (generic term),,,
11475,park,8,(noun),parking lot,car park,parking area,lot (generic term),,,
11476,park,8,(noun),gear (generic term),gear mechanism (generic term),,,,,
11477,park,8,(verb),put (generic term),set (generic term),place (generic term),pose (generic term),position (generic term),lay (generic term),
11478,park,8,(verb),steer (generic term),maneuver (generic term),manoeuver (generic term),manoeuvre (generic term),direct (generic term),point (generic term),
11479,parking,2,(noun),room (generic term),way (generic term),elbow room (generic term),,,,
11480,parking,2,(noun),maneuver (generic term),manoeuvre (generic term),tactical maneuver (generic term),tactical manoeuvre (generic term),,,
11481,part,18,(noun),portion,component part,component,relation (generic term),,,
11482,part,18,(noun),region,location (generic term),,,,,
11483,part,18,(noun),concern (generic term),,,,,,
11484,part,18,(noun),portion,object (generic term),physical object (generic term),,,,
11485,part,18,(noun),section,division,concept (generic term),conception (generic term),construct (generic term),,
11486,part,18,(noun),function,office,role,duty (generic term),,,
11487,part,18,(noun),piece,thing (generic term),,,,,
11488,part,18,(noun),character,role,theatrical role,persona,portrayal (generic term),characterization (generic term),
11489,part,18,(noun),share,portion,percentage,assets (generic term),,,
11490,part,18,(noun),contribution,share,attempt (generic term),effort (generic term),endeavor (generic term),endeavour (generic term),
11491,part,18,(noun),voice,tune (generic term),melody (generic term),air (generic term),strain (generic term),melodic line (generic term),
11492,part,18,(noun),parting,line (generic term),,,,,
11493,part,18,(verb),separate,split,move (generic term),,,,
11494,part,18,(verb),separate,split up,split,break,break up,,
11495,part,18,(verb),depart,start,start out,set forth,set off,set out,
11496,part,18,(verb),separate,divide,change (generic term),,,,
11497,part,18,(verb),separate,disunite,divide,move (generic term),displace (generic term),,
11498,part,18,(adv),partially,partly,wholly (antonym),,,,
11499,participant,2,(noun),associate (generic term),,,,,,
11500,participant,2,(noun),player,contestant (generic term),,,,,
11501,participate,2,(verb),take part,act (generic term),move (generic term),,,,
11502,participate,2,(verb),enter,drop out (antonym),,,,,
11503,participation,2,(noun),engagement,involvement,involution,group action (generic term),non-involvement (antonym),nonparticipation (antonym),
11504,participation,2,(noun),involvement,condition (generic term),status (generic term),,,,
11505,particular,9,(adj),peculiar,special,specific (similar term),,,,
11506,particular,9,(adj),specific (similar term),,,,,,
11507,particular,9,(adj),especial,exceptional,special,uncommon (similar term),,,
11508,particular,9,(adj),special,primary (similar term),,,,,
11509,particular,9,(adj),finical,finicky,fussy,picky,fastidious (similar term),,
11510,particular,9,(adj),careful (similar term),,,,,,
11511,particular,9,(noun),specific,fact (generic term),general (antonym),general (antonym),,,
11512,particular,9,(noun),detail,item,part (generic term),portion (generic term),component part (generic term),component (generic term),
11513,particular,9,(noun),particular proposition,proposition (generic term),universal proposition (antonym),universal (antonym),,,
11514,particularly,3,(adv),peculiarly,especially,specially,,,,
11515,particularly,3,(adv),in particular,,,,,,
11516,particularly,3,(adv),peculiarly,,,,,,
11517,partly,1,(adv),partially,part,wholly (antonym),,,,
11518,partner,5,(noun),spouse,married person,mate,better half,relative (generic term),relation (generic term),
11519,partner,5,(noun),collaborator,cooperator,pardner,associate (generic term),,,
11520,partner,5,(noun),person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term),soul (generic term),
11521,partner,5,(verb),supply (generic term),provide (generic term),render (generic term),furnish (generic term),,,
11522,partner,5,(verb),act (generic term),move (generic term),,,,,
11523,partnership,3,(noun),business (generic term),concern (generic term),business concern (generic term),business organization (generic term),business organisation (generic term),,
11524,partnership,3,(noun),relationship (generic term),human relationship (generic term),,,,,
11525,partnership,3,(noun),contract (generic term),,,,,,
11526,party,6,(noun),political party,organization (generic term),organisation (generic term),,,,
11527,party,6,(noun),affair (generic term),occasion (generic term),social occasion (generic term),function (generic term),social function (generic term),,
11528,party,6,(noun),company,set (generic term),circle (generic term),band (generic term),lot (generic term),,
11529,party,6,(noun),social gathering (generic term),social affair (generic term),,,,,
11530,party,6,(noun),person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term),soul (generic term),
11531,party,6,(verb),celebrate (generic term),fete (generic term),,,,,
11532,pass,43,(adj),passing,running (antonym),,,,,
11533,pass,43,(noun),base on balls,walk,accomplishment (generic term),achievement (generic term),,,
11534,pass,43,(noun),leave (generic term),leave of absence (generic term),,,,,
11535,pass,43,(noun),passing play,passing game,passing,football play (generic term),,,
11536,pass,43,(noun),mountain pass,notch,location (generic term),,,,
11537,pass,43,(noun),passport,permission (generic term),,,,,
11538,pass,43,(noun),laissez passer,permission (generic term),,,,,
11539,pass,43,(noun),flight (generic term),flying (generic term),,,,,
11540,pass,43,(noun),strait,straits,situation (generic term),,,,
11541,pass,43,(noun),head,straits,juncture (generic term),occasion (generic term),,,
11542,pass,43,(noun),cycle (generic term),oscillation (generic term),,,,,
11543,pass,43,(noun),bye,concession (generic term),conceding (generic term),yielding (generic term),,,
11544,pass,43,(noun),liberty chit,license (generic term),licence (generic term),permit (generic term),,,
11545,pass,43,(noun),ticket (generic term),,,,,,
11546,pass,43,(noun),crack,fling,go,whirl,offer,attempt (generic term),
11547,pass,43,(noun),toss,flip,throw (generic term),,,,
11548,pass,43,(noun),passing,qualifying,success (generic term),failing (antonym),,,
11549,pass,43,(verb),go through,go across,travel (generic term),go (generic term),move (generic term),locomote (generic term),
11550,pass,43,(verb),travel by,pass by,surpass,go past,go by,travel (generic term),
11551,pass,43,(verb),legislate,ordain (generic term),enact (generic term),,,,
11552,pass,43,(verb),elapse,lapse,slip by,glide by,slip away,go by,
11553,pass,43,(verb),hand,reach,pass on,turn over,give,transfer (generic term),
11554,pass,43,(verb),run,go,lead,extend,be (generic term),extend to (related term),
11555,pass,43,(verb),overtake,overhaul,advance (generic term),progress (generic term),pass on (generic term),move on (generic term),
11556,pass,43,(verb),happen,hap,go on,pass off,occur,fall out,
11557,pass,43,(verb),clear,succeed (generic term),win (generic term),come through (generic term),bring home the bacon (generic term),deliver the goods (generic term),
11558,pass,43,(verb),spend,,,,,,
11559,pass,43,(verb),guide,run,draw,pass over (related term),pass around (related term),,
11560,pass,43,(verb),communicate,pass on,pass along,put across,convey (generic term),transmit (generic term),
11561,pass,43,(verb),evanesce,fade,blow over,pass off,fleet,disappear (generic term),
11562,pass,43,(verb),make it,succeed (generic term),win (generic term),come through (generic term),bring home the bacon (generic term),deliver the goods (generic term),
11563,pass,43,(verb),exceed,transcend,overstep,go past,top,excel (generic term),
11564,pass,43,(verb),evaluate (generic term),pass judgment (generic term),judge (generic term),fail (antonym),,,
11565,pass,43,(verb),let (generic term),allow (generic term),permit (generic term),,,,
11566,pass,43,(verb),change (generic term),,,,,,
11567,pass,43,(verb),sink,lapse,move (generic term),,,,
11568,pass,43,(verb),be (generic term),,,,,,
11569,pass,43,(verb),throw (generic term),,,,,,
11570,pass,43,(verb),fall,return,devolve,change hands (generic term),change owners (generic term),,
11571,pass,43,(verb),make pass,,,,,,
11572,pass,43,(verb),authorize,authorise,clear,permit (generic term),allow (generic term),let (generic term),
11573,pass,43,(verb),die,decease,perish,go,exit,pass away,
11574,pass,43,(verb),excrete,egest,eliminate,discharge (generic term),expel (generic term),eject (generic term),
11575,passage,10,(noun),transition,change of state (generic term),,,,,
11576,passage,10,(noun),section (generic term),subdivision (generic term),,,,,
11577,passage,10,(noun),way (generic term),,,,,,
11578,passage,10,(noun),enactment,legislation (generic term),legislating (generic term),lawmaking (generic term),,,
11579,passage,10,(noun),transit,journey (generic term),journeying (generic term),,,,
11580,passage,10,(noun),musical passage,musical composition (generic term),opus (generic term),composition (generic term),piece (generic term),piece of music (generic term),
11581,passage,10,(noun),passageway,structure (generic term),anatomical structure (generic term),complex body part (generic term),bodily structure (generic term),body structure (generic term),
11582,passage,10,(noun),passing,reaction (generic term),response (generic term),,,,
11583,passage,10,(noun),passing,movement (generic term),motion (generic term),,,,
11584,passage,10,(noun),handing over,delivery (generic term),bringing (generic term),,,,
11585,passenger,1,(noun),rider,traveler (generic term),traveller (generic term),,,,
11586,passion,7,(noun),passionateness,feeling (generic term),,,,,
11587,passion,7,(noun),heat,warmth,emotionality (generic term),emotionalism (generic term),,,
11588,passion,7,(noun),rage,desire (generic term),,,,,
11589,passion,7,(noun),mania,cacoethes,irrational motive (generic term),,,,
11590,passion,7,(noun),sexual desire (generic term),eros (generic term),concupiscence (generic term),physical attraction (generic term),,,
11591,passion,7,(noun),love,object (generic term),,,,,
11592,passion,7,(noun),Passion,Passion of Christ,agony (generic term),suffering (generic term),excruciation (generic term),,
11593,past,7,(adj),ago (similar term),agone (similar term),ancient (similar term),bygone (similar term),bypast (similar term),departed (similar term),
11594,past,7,(adj),preceding,retiring,outgoing (similar term),,,,
11595,past,7,(adj),tense (related term),,,,,,
11596,past,7,(noun),past times,yesteryear,yore,time (generic term),future (antonym),,
11597,past,7,(noun),time period (generic term),period of time (generic term),period (generic term),,,,
11598,past,7,(noun),past tense,tense (generic term),,,,,
11599,past,7,(adv),by,,,,,,
11600,patch,13,(noun),spot,speckle,dapple,fleck,maculation,marking (generic term),
11601,patch,13,(noun),plot,plot of ground,tract (generic term),piece of land (generic term),piece of ground (generic term),parcel of land (generic term),
11602,patch,13,(noun),piece of cloth (generic term),piece of material (generic term),,,,,
11603,patch,13,(noun),while,piece,spell,time (generic term),,,
11604,patch,13,(noun),program (generic term),programme (generic term),computer program (generic term),computer programme (generic term),,,
11605,patch,13,(noun),temporary hookup,connection (generic term),connexion (generic term),connector (generic term),connecter (generic term),connective (generic term),
11606,patch,13,(noun),mend,darn,sewing (generic term),stitchery (generic term),,,
11607,patch,13,(noun),eyepatch,cloth covering (generic term),,,,,
11608,patch,13,(noun),bandage,dressing (generic term),medical dressing (generic term),,,,
11609,patch,13,(verb),piece,join (generic term),conjoin (generic term),,,,
11610,patch,13,(verb),supply (generic term),provide (generic term),render (generic term),furnish (generic term),,,
11611,patch,13,(verb),patch up,repair (generic term),mend (generic term),fix (generic term),bushel (generic term),doctor (generic term),
11612,patch,13,(verb),piece,repair (generic term),mend (generic term),fix (generic term),bushel (generic term),doctor (generic term),
11613,path,4,(noun),way,way of life,course (generic term),course of action (generic term),,,
11614,path,4,(noun),way (generic term),,,,,,
11615,path,4,(noun),route,itinerary,line (generic term),,,,
11616,path,4,(noun),track,course,line (generic term),,,,
11617,patient,4,(adj),diligent (similar term),persevering (similar term),enduring (similar term),long-suffering (similar term),forbearing (similar term),longanimous (similar term),
11618,patient,4,(adj),uncomplaining (similar term),,,,,,
11619,patient,4,(noun),case (generic term),sick person (generic term),diseased person (generic term),sufferer (generic term),,,
11620,patient,4,(noun),affected role,patient role,semantic role (generic term),participant role (generic term),,,
11621,pattern,10,(noun),form,shape,structure (generic term),,,,
11622,pattern,10,(noun),practice,activity (generic term),,,,,
11623,pattern,10,(noun),design,figure,decoration (generic term),ornament (generic term),ornamentation (generic term),,
11624,pattern,10,(noun),convention,normal,rule,formula,practice (generic term),,
11625,pattern,10,(noun),exemplar (generic term),example (generic term),model (generic term),good example (generic term),,,
11626,pattern,10,(noun),blueprint,design,plan (generic term),program (generic term),programme (generic term),,
11627,pattern,10,(noun),traffic pattern,approach pattern,path (generic term),route (generic term),itinerary (generic term),,
11628,pattern,10,(noun),radiation pattern,radiation diagram,graph (generic term),graphical record (generic term),,,
11629,pattern,10,(verb),model,imitate (generic term),copy (generic term),simulate (generic term),,,
11630,pattern,10,(verb),match (generic term),fit (generic term),correspond (generic term),check (generic term),jibe (generic term),gibe (generic term),
11631,pause,4,(noun),intermission,break,interruption,suspension,time interval (generic term),interval (generic term),
11632,pause,4,(noun),inactivity (generic term),,,,,,
11633,pause,4,(verb),hesitate,delay (generic term),,,,,
11634,pause,4,(verb),intermit,break,interrupt (generic term),disrupt (generic term),break up (generic term),cut off (generic term),
11635,pay,12,(noun),wage,earnings,remuneration,salary,regular payment (generic term),,
11636,pay,12,(verb),give (generic term),fund (related term),pay off (related term),pay off (related term),pay off (related term),pay out (related term),
11637,pay,12,(verb),give,communicate (generic term),intercommunicate (generic term),,,,
11638,pay,12,(verb),pay off,make up,compensate,settle (generic term),pay back (related term),pay off (related term),
11639,pay,12,(verb),digest (generic term),endure (generic term),stick out (generic term),stomach (generic term),bear (generic term),stand (generic term),
11640,pay,12,(verb),pay up,ante up,pay (generic term),default (antonym),,,
11641,pay,12,(verb),yield,bear,gain (generic term),take in (generic term),clear (generic term),make (generic term),
11642,pay,12,(verb),make (generic term),,,,,,
11643,pay,12,(verb),be (generic term),,,,,,
11644,pay,12,(verb),give,devote,think (generic term),cogitate (generic term),cerebrate (generic term),,
11645,pay,12,(verb),settle (generic term),,,,,,
11646,pay,12,(verb),requite (generic term),repay (generic term),,,,,
11647,payment,2,(noun),cost (generic term),nonpayment (antonym),,,,,
11648,payment,2,(noun),defrayal,defrayment,commerce (generic term),commercialism (generic term),mercantilism (generic term),nonpayment (antonym),
11649,peace,5,(noun),order (generic term),war (antonym),,,,,
11650,peace,5,(noun),harmony (generic term),concord (generic term),concordance (generic term),,,,
11651,peace,5,(noun),peacefulness,peace of mind,repose,serenity,heartsease,ataraxis,
11652,peace,5,(noun),public security,security (generic term),,,,,
11653,peace,5,(noun),peace treaty,pacification,treaty (generic term),pact (generic term),accord (generic term),,
11654,peak,9,(adj),off-peak (antonym),,,,,,
11655,peak,9,(noun),extremum,limit (generic term),limitation (generic term),,,,
11656,peak,9,(noun),flower,prime,heyday,bloom,blossom,efflorescence,
11657,peak,9,(noun),acme,height,elevation,pinnacle,summit,superlative,
11658,peak,9,(noun),crown,crest,top,tip,summit,topographic point (generic term),
11659,peak,9,(noun),point,tip,convex shape (generic term),convexity (generic term),,,
11660,peak,9,(noun),vertex,apex,acme,extreme point (generic term),extreme (generic term),extremum (generic term),
11661,peak,9,(noun),bill,eyeshade,visor,vizor,brim (generic term),,
11662,peak,9,(verb),reach (generic term),make (generic term),attain (generic term),hit (generic term),arrive at (generic term),gain (generic term),
11663,peer,3,(noun),equal,match,compeer,person (generic term),individual (generic term),someone (generic term),
11664,peer,3,(noun),Lord (generic term),noble (generic term),nobleman (generic term),,,,
11665,peer,3,(verb),look (generic term),,,,,,
11666,penalty,4,(noun),punishment,penalization,penalisation,social control (generic term),,,
11667,penalty,4,(noun),payment (generic term),,,,,,
11668,penalty,4,(noun),disadvantage (generic term),reward (antonym),,,,,
11669,penalty,4,(noun),handicap (generic term),,,,,,
11670,people,6,(noun),group (generic term),grouping (generic term),,,,,
11671,people,6,(noun),citizenry,group (generic term),grouping (generic term),,,,
11672,people,6,(noun),multitude,masses,mass,hoi polloi,the great unwashed,group (generic term),
11673,people,6,(noun),family (generic term),family line (generic term),folk (generic term),kinfolk (generic term),kinsfolk (generic term),sept (generic term),
11674,people,6,(verb),populate,fill (generic term),fill up (generic term),make full (generic term),,,
11675,people,6,(verb),populate,dwell (generic term),live (generic term),inhabit (generic term),,,
11676,pepper,6,(noun),common pepper,black pepper,white pepper,Madagascar pepper,Piper nigrum,true pepper (generic term),
11677,pepper,6,(noun),capsicum,capsicum pepper plant,shrub (generic term),bush (generic term),,,
11678,pepper,6,(noun),peppercorn,flavorer (generic term),flavourer (generic term),flavoring (generic term),flavouring (generic term),seasoner (generic term),
11679,pepper,6,(noun),solanaceous vegetable (generic term),,,,,,
11680,pepper,6,(verb),zest (generic term),spice (generic term),spice up (generic term),,,,
11681,pepper,6,(verb),pelt,attack (generic term),assail (generic term),,,,
11682,perceive,2,(verb),comprehend,,,,,,
11683,perceive,2,(verb),understand (generic term),realize (generic term),realise (generic term),see (generic term),,,
11684,percentage,2,(noun),percent,per centum,pct,proportion (generic term),,,
11685,percentage,2,(noun),share,portion,part,assets (generic term),,,
11686,perception,5,(noun),percept,perceptual experience,representation (generic term),mental representation (generic term),internal representation (generic term),,
11687,perception,5,(noun),conceptualization (generic term),conceptualisation (generic term),conceptuality (generic term),,,,
11688,perception,5,(noun),basic cognitive process (generic term),,,,,,
11689,perception,5,(noun),cognition (generic term),knowledge (generic term),noesis (generic term),,,,
11690,perception,5,(noun),sensing,sensory activity (generic term),,,,,
11691,perfect,5,(adj),clean (similar term),clear (similar term),cold (similar term),complete (similar term),consummate (similar term),down (similar term),
11692,perfect,5,(adj),arrant,complete,consummate,double-dyed,everlasting,gross,
11693,perfect,5,(adj),exact (similar term),,,,,,
11694,perfect,5,(noun),perfective,perfective tense,perfect tense,tense (generic term),,,
11695,perfect,5,(verb),hone,better (generic term),improve (generic term),amend (generic term),ameliorate (generic term),meliorate (generic term),
11696,perfectly,2,(adv),absolutely,utterly,dead,,,,
11697,perfectly,2,(adv),imperfectly (antonym),,,,,,
11698,perform,4,(verb),execute,do,,,,,
11699,perform,4,(verb),act (generic term),move (generic term),,,,,
11700,perform,4,(verb),re-create (generic term),,,,,,
11701,perform,4,(verb),do,carry through (generic term),accomplish (generic term),execute (generic term),carry out (generic term),action (generic term),
11702,performance,5,(noun),public presentation,show (generic term),,,,,
11703,performance,5,(noun),execution,carrying out,carrying into action,action (generic term),,,
11704,performance,5,(noun),presentation (generic term),presentment (generic term),demonstration (generic term),,,,
11705,performance,5,(noun),operation,functioning,process (generic term),physical process (generic term),,,
11706,performance,5,(noun),accomplishment (generic term),achievement (generic term),,,,,
11707,perhaps,1,(adv),possibly,perchance,maybe,mayhap,peradventure,,
11708,period,8,(noun),time period,period of time,fundamental quantity (generic term),fundamental measure (generic term),,,
11709,period,8,(noun),playing period (generic term),period of play (generic term),play (generic term),,,,
11710,period,8,(noun),historic period,historical period,time period (generic term),period of time (generic term),period (generic term),,
11711,period,8,(noun),time interval (generic term),interval (generic term),,,,,
11712,period,8,(noun),menstruation,menses,menstruum,catamenia,flow,discharge (generic term),
11713,period,8,(noun),point,full stop,stop,full point,punctuation (generic term),punctuation mark (generic term),
11714,period,8,(noun),geological period,geological time (generic term),geologic time (generic term),,,,
11715,period,8,(noun),end (generic term),ending (generic term),,,,,
11716,permanent,3,(adj),lasting,abiding (similar term),enduring (similar term),imperishable (similar term),ageless (similar term),aeonian (similar term),
11717,permanent,3,(adj),irreversible (similar term),,,,,,
11718,permanent,3,(noun),permanent wave,perm,wave (generic term),,,,
11719,permission,2,(noun),approval (generic term),commendation (generic term),,,,,
11720,permission,2,(noun),license,permit,authorization (generic term),authorisation (generic term),empowerment (generic term),,
11721,permit,6,(noun),license,licence,legal document (generic term),legal instrument (generic term),official document (generic term),instrument (generic term),
11722,permit,6,(noun),license,permission,authorization (generic term),authorisation (generic term),empowerment (generic term),,
11723,permit,6,(noun),Trachinotus falcatus,pompano (generic term),,,,,
11724,permit,6,(verb),allow,let,countenance,accept (generic term),consent (generic term),go for (generic term),
11725,permit,6,(verb),let,allow,prevent (antonym),,,,
11726,permit,6,(verb),allow,tolerate,permit (generic term),allow (generic term),let (generic term),countenance (generic term),
11727,person,3,(noun),individual,someone,somebody,mortal,soul,organism (generic term),
11728,person,3,(noun),human body (generic term),physical body (generic term),material body (generic term),soma (generic term),build (generic term),figure (generic term),
11729,person,3,(noun),grammatical category (generic term),syntactic category (generic term),,,,,
11730,personal,6,(adj),ad hominem (similar term),face-to-face (similar term),individual (similar term),private (similar term),individualized (similar term),individualised (similar term),
11731,personal,6,(adj),subjective (similar term),,,,,,
11732,personal,6,(adj),attribute (related term),,,,,,
11733,personal,6,(adj),physical (similar term),,,,,,
11734,personal,6,(adj),grammatical category,syntactic category (related term),,,,,
11735,personal,6,(noun),news article (generic term),news story (generic term),newspaper article (generic term),,,,
11736,personality,2,(noun),attribute (generic term),,,,,,
11737,personality,2,(noun),celebrity (generic term),famous person (generic term),,,,,
11738,personally,2,(adv),impersonally (antonym),,,,,,
11739,personally,2,(adv),in person,,,,,,
